4.2461,0,468.83,170.51,69
4.2469,0,458.74,168.86,69
4.2361,0,456.39,166.34,68
4.237,0,453.49,166.15,68
4.2374,0,450.14,165.7,68
4.2321,0,448.1,163.17,67
4.225,0,452.87,163.51,69
4.2249,0,461.63,167.04,69
4.2276,0,465.81,166.98,71
4.2358,0,485.29,170.42,73
4.238,0,504.24,173.28,74
4.2494,0,521.52,178.6,78
4.2538,0,530.85,180.7,81
4.2596,0,530.46,181.83,80
4.258,0,535.42,182.46,83
4.2531,0,536.9,182.53,83
4.2605,0,536.42,182.83,83
4.2539,0,531.12,181.33,82
4.258,0,520.1,180.66,80
4.2659,0,509.21,180.57,80
4.2606,0,496.52,177.95,79
4.2522,0,490.49,177.25,74
4.2538,0,486.98,175.66,76
4.2569,0,471.47,171.79,74
4.2479,0,463.77,168.68,72
4.252,0,450.23,167.43,71
4.2511,0,449.27,166.38,70
4.2412,0,446.94,164.2,70
4.2426,0,444.08,164.44,69
4.2488,0,441.51,163.98,70
4.2328,0,444.14,162.55,71
4.2273,0,455.45,165.42,70
4.2323,0,459.79,167.79,70
4.2333,0,462.41,167.1,70
4.2349,0,468.47,168.27,72
4.2518,0,474.58,172.68,70
4.2517,0,473.85,170.61,70
4.2522,0,475.32,171.96,72
4.2439,0,471.76,170.07,74
4.2425,0,479.19,171.63,76
4.2395,0,486.45,173.93,75
4.2427,0,490.17,174.94,76
4.2512,0,490.98,177.03,73
4.2519,0,492.28,176.37,73
4.2566,0,489.92,176.82,72
4.2508,0,484.11,175.14,71
4.2547,0,480.7,174.56,71
4.2523,0,470.56,170.18,70
4.2534,0,458.65,167.24,69
4.2496,0,451.97,167.01,68
4.2419,0,448.67,164.67,68
4.2377,0,442.67,162.48,67
4.2442,0,437.51,162.18,67
4.239,0,438.11,161.37,67
4.2363,0,436.55,159.89,68
4.2354,0,443.32,162.61,69
4.2275,0,446.83,164.2,69
4.2293,0,456.32,166.08,70
4.2344,0,460.28,167.57,75
4.2425,0,470.13,170.79,75
4.238,0,481.63,172.96,81
4.2429,0,485.71,174.45,83
4.2499,0,488.7,175.64,83
4.2491,0,492.67,177.09,85
4.2482,0,491.38,176,84
4.2537,0,494.61,177,82
4.2534,0,496.6,177.76,80
4.2644,0,494.26,179.78,78
4.2675,0,482.26,177.19,75
4.2589,0,482.64,176.53,76
4.2505,0,482.65,174.44,75
4.2628,0,460.1,169.9,73
4.2465,0,458.22,168.42,71
4.2559,0,452.48,170.12,72
4.2507,0,450.11,168.38,70
4.2395,0,449.62,166.42,68
4.2453,0,451.19,167.89,69
4.2394,0,448.64,165.6,69
4.2287,0,450.43,164.02,71
4.2405,0,458.08,169.17,74
4.2387,0,463.34,169.45,76
4.2445,0,487.85,172.8,79
4.2508,0,513.17,178.46,80
4.2561,0,531.58,181.5,82
4.2605,0,539.07,183.53,83
4.2581,0,538.54,182.44,84
4.2628,0,542.43,185.55,86
4.2625,0,543.96,186.51,84
4.2576,0,538.86,183.63,82
4.2687,0,532.05,184.54,81
4.2668,0,515.23,180.81,73
4.273,0,508.81,180.35,72
4.2741,0,497.56,179.23,73
4.2529,0,493.19,175.72,71
4.2703,0,485.73,175.92,71
4.2606,0,472.67,171.3,70
4.263,0,469.59,172.25,70
4.2597,0,463.32,172.57,69
4.2533,0,461.91,171.17,70
4.2471,0,461.88,170.56,69
4.2499,0,455.33,168.88,68
4.2327,0,456.54,165.96,69
4.2339,0,453.31,165.2,72
4.2367,0,462.7,169.3,74
4.2359,0,469.71,170.01,76
4.247,0,492.24,174.75,77
4.2508,0,515.19,178.51,79
4.2218,0,537.71,178.56,80
4.2626,0,534.61,182.65,84
4.2568,0,537.16,181.92,84
4.2593,0,540.68,184.63,86
4.2577,0,538.64,182.11,87
4.2513,0,534.17,180.38,86
4.257,0,530.94,181.54,85
4.2626,0,518.3,181.45,83
